episode,score,return,success,avg_score,avg_return,success_rate
1,-88.2094169506365,-41.305018056088834,False,-88.2094169506365,-41.305018056088834,0.0
2,-137.81967324903738,-77.92716280982262,False,-113.01454509983694,-59.61609043295573,0.0
3,-130.63347512254126,-64.44405527098702,False,-118.88752177407171,-61.22541204563282,0.0
4,-533.1054222139023,-131.9403335200714,False,-222.44199688402938,-78.90414241424247,0.0
5,-157.30720119830204,-89.91127540707069,False,-209.4150377468839,-81.1055690128081,0.0
6,-17.0912130238587,22.135486209742943,False,-177.36106695971304,-63.898726475716266,0.0
7,-333.39332808673214,-158.4467045051826,False,-199.6513899778586,-77.40558047992575,0.0
8,-481.5070550338776,-220.47940671328544,False,-234.883348109861,-95.2898087590957,0.0
9,-282.62922230889944,-143.96459055961031,False,-240.1884452430875,-100.69811784804178,0.0
10,-363.3056838516573,-214.57510554250655,False,-252.50016910394447,-112.08581661748826,0.0
11,-129.07306705273157,-35.935022429184976,False,-241.2795234629251,-105.16301714582433,0.0
12,-186.7684599905504,-91.42950152675505,False,-236.73693484022724,-104.01855751090189,0.0
13,-308.1342237248554,-149.5607258148375,False,-242.22903398519864,-107.52180122658925,0.0
14,-221.35504844910184,-105.35508107504708,False,-240.73803501833459,-107.3670355014791,0.0
15,-245.4177594844233,-120.71526220747413,False,-241.05001664940716,-108.25691728187876,0.0
16,-180.12782482252223,-68.49411371866826,False,-237.24237966022685,-105.7717420591781,0.0
17,-341.71666715321135,-156.6060537083126,False,-243.3879259833436,-108.76199568559777,0.0
18,-343.64164545017843,-163.5921425291232,False,-248.95757706483442,-111.80811495468252,0.0
19,-225.38438886189192,-97.44657907170989,False,-247.7168829488901,-111.05224464505238,0.0
20,-236.1712307323434,-84.55493555876728,False,-247.13960033806273,-109.72737919073813,0.0
21,-121.41116291666073,-16.209037255312133,False,-241.15253188942455,-105.2741248128607,0.0
22,-316.5608491622463,-153.0191611094928,False,-244.58018267455282,-107.44435373543489,0.0
23,-224.0065297585957,-113.76728864399462,False,-243.68567602603295,-107.71926394885053,0.0
24,-184.07354457999574,-50.12372503488227,False,-241.20183721578135,-105.31944982743518,0.0
25,-255.100997607637,-98.59334036977424,False,-241.75780363145557,-105.05040544912873,0.0
26,-269.92239638899457,-145.38406524793854,False,-242.8410571990532,-106.60170005677527,0.0
27,-261.5913411159495,-120.70550892577188,False,-243.53551215893827,-107.1240633482196,0.0
28,-159.5597888316536,-80.99046463319436,False,-240.53637918296383,-106.19072053696868,0.0
29,-219.7484645780816,-112.27517953981442,False,-239.81955454141615,-106.4005294681013,0.0
30,-303.8531870307361,-80.90020544597368,False,-241.9540089577268,-105.55051866736372,0.0
31,-194.02280213579724,-67.53700280549681,False,-240.4078409957291,-104.32427622020671,0.0
32,-217.25753468033685,-72.87194645230093,False,-239.6843939233731,-103.34139091495967,0.0
33,-348.0636901573764,-89.64426016667326,False,-242.9686150213732,-102.92632634682978,0.0
34,-356.1888659843043,-50.41023895601387,False,-246.29862240263586,-101.38173554121755,0.0
35,-225.2718806361527,-57.675802586751715,False,-245.69785835216493,-100.13299459966137,0.0
36,-195.7309569018812,-48.36809714496619,False,-244.30988886743484,-98.6950807814754,0.0
