episode,score,return,success,avg_score,avg_return,success_rate
1,-39.35696142704566,-36.28342622737839,False,-39.35696142704566,-36.28342622737839,0.0
2,-194.16466045674747,-80.04925885989167,False,-116.76081094189657,-58.166342543635025,0.0
3,-266.34192332271806,-147.95540171441786,False,-166.6211817355037,-88.09602893389597,0.0
4,-181.58681149699174,-93.60772924555818,False,-170.3625891758757,-89.47395401181151,0.0
5,-76.8544345027722,-45.14853178881121,False,-151.660958241255,-80.60886956721146,0.0
6,-129.55831152354887,-75.32709338149158,False,-147.97718378830396,-79.72857353625814,0.0
7,-92.02820873674493,-48.63859986540571,False,-139.98447306665267,-75.28714872613637,0.0
8,-138.15936211735755,-71.00302653754862,False,-139.7563341979908,-74.7516334525629,0.0
9,-260.6513530061777,-140.7825275641322,False,-153.18911406556714,-82.0883994649595,0.0
10,-144.4465744512104,-77.57407357329106,False,-152.31486010413147,-81.63696687579265,0.0
11,-53.987795290481195,-30.836299080769003,False,-143.37603603016325,-77.01872434897233,0.0
12,-74.72644352084775,-32.08019163624229,False,-137.65523665438698,-73.27384662291148,0.0
13,-44.62077551783992,-21.799480034246237,False,-130.49873964388337,-69.31427996224492,0.0
14,-162.93747276782608,-82.78753194554328,False,-132.81579200987926,-70.27665510390909,0.0
15,-71.93235899259614,-30.044659887024306,False,-128.75689647539372,-67.59452208945011,0.0
16,-175.251740161601,-77.45742959751738,False,-131.66282420578167,-68.21095380870432,0.0
17,-311.4892632457738,-150.39491533846825,False,-142.24085003166354,-73.04530448692573,0.0
18,-206.2273550495733,-101.12920022056323,False,-145.79565586599188,-74.60552091657226,0.0
19,-392.99428271364434,-172.10622550235746,False,-158.80610991060516,-79.73713694740306,0.0
20,-403.5539645912174,-215.26895533553756,False,-171.04350264463577,-86.51372786680979,0.0
21,-165.15820925491187,-70.88060867681364,False,-170.76325057845844,-85.76929361966711,0.0
22,-66.42048883339741,-33.74362770619145,False,-166.02039777186476,-83.40449062360004,0.0
23,-148.55867731272764,-62.12774305426556,False,-165.26119253451097,-82.47941464232463,0.0
24,-177.05304998498903,-97.9560233603145,False,-165.75251992828092,-83.12427333890753,0.0
25,-268.20308792344787,-136.0332723499016,False,-169.85054264808758,-85.24063329934728,0.0
26,-104.49114540754358,-56.51442005617456,False,-167.33671967729742,-84.13577894384063,0.0
27,-91.87896955808213,-43.82121433344882,False,-164.54198819140055,-82.64264692123353,0.0
28,-278.9511368794592,-114.8979660556926,False,-168.62802921597407,-83.79462260460707,0.0
29,-255.08603972766863,-163.28929137469694,False,-171.60933992327386,-86.53581807943775,0.0
30,-123.17559185488116,-46.69515564238045,False,-169.99488165432746,-85.20779599820251,0.0
31,-444.0342747771939,-188.0451818945484,False,-178.83486207764574,-88.5251310271169,0.0
32,-227.37296254304403,-68.27964628804759,False,-180.35167771718943,-87.89245962902099,0.0
33,-414.35134269662905,-231.70722513662864,False,-187.44257665596032,-92.25048282622122,0.0
34,-122.15222068142822,-74.831340650961,False,-185.52227206847408,-91.73815511518416,0.0
35,-30.911065622261148,-6.372298048215015,False,-181.10480902715372,-89.29913062755645,0.0
36,-108.61287594245393,-29.29252787491579,False,-179.0911442192454,-87.63228055109421,0.0
37,-499.7920333561716,-134.08363075739203,False,-187.75873581754067,-88.88772244856173,0.0
38,-243.5857804722521,-69.32073842628957,False,-189.22786857161202,-88.37280181639667,0.0
39,-294.8823184918934,-80.3258700807914,False,-191.93695703110643,-88.16647023343243,0.0
40,-124.52082296885034,-63.25447065491319,False,-190.25155367955003,-87.54367024396944,0.0
41,-80.88718498676985,-50.49126042436443,False,-187.58413005289685,-86.63995293129616,0.0
42,-277.00300414011963,-136.98192745995706,False,-189.7131508644974,-87.83857137245475,0.0
43,-198.52547361179558,-87.08137043310433,False,-189.91808860280668,-87.82096204828382,0.0
44,-224.4336112335679,-115.27617220587021,False,-190.70253229896034,-88.44494409731988,0.0
45,-87.29400596424858,-24.777866419158613,False,-188.40456504707782,-87.0301201489163,0.0
46,-124.89725158163519,-63.687990935653694,False,-187.02397127608995,-86.52268255732362,0.0
47,-388.4914467902121,-150.0621387022756,False,-191.31051330830533,-87.87458587955665,0.0
48,-218.98091536754515,-137.1749052519263,False,-191.88698001787282,-88.90167586648101,0.0
49,-155.65043752422923,-75.30583848336525,False,-191.14745874249235,-88.62420979743783,0.0
50,-230.6750503750601,-108.63806825516546,False,-191.93801057514372,-89.02448696659238,0.0
51,-111.63112477568878,-44.93779698888352,False,-190.36336575554657,-88.16004206506868,0.0
52,-49.33887262401423,-18.72880097055746,False,-187.65135627224785,-86.82482589017422,0.0
53,-123.4145283565219,-46.78518500133632,False,-186.4393406511964,-86.06936096774332,0.0
54,-388.6483187503237,-156.26902266647414,False,-190.1839513567358,-87.36935470290501,0.0
55,-134.3997373127968,-51.40909904913469,False,-189.16969291957327,-86.71553187283646,0.0
56,-93.28179766973764,-47.967735748650455,False,-187.4574090758262,-86.02360694204744,0.0
57,-306.8400149722416,-129.13299279340225,False,-189.55184075821947,-86.77991195698348,0.0
58,-22.61031309665445,-18.409181641300993,False,-186.673538557158,-85.60110626188552,0.0
59,-31.53067682106621,14.545925698027204,False,-184.04399852773273,-83.90369894053106,0.0
60,-74.26043641782326,-22.428275922037816,False,-182.21427249256757,-82.8791085568895,0.0
61,-63.05650379320139,-33.48999654333417,False,-180.26086644831568,-82.06945098289678,0.0
62,-67.86037386353965,-10.319638440209914,False,-178.44795527759348,-80.91219594188571,0.0
63,-57.85467653092272,-14.312492442749509,False,-176.53377624986854,-79.85505779110576,0.0
64,-11.178992571866374,13.164664509279671,False,-173.95010775489973,-78.40162463016225,0.0
65,-104.7382082008953,-43.677700013768614,False,-172.88530930022273,-77.86741040529466,0.0
66,-216.95038336372022,-106.96849302670115,False,-173.55296193754847,-78.3083358995584,0.0
